Team,Position,Time,Shots,Passes,Tackles,Saves
Algeria,Midfielder,16,0,6,0,0
Japan,Midfielder,351,0,101,14,0
France,Defender,180,0,91,6,0
France,Midfielder,270,1,111,5,0
Cameroon,Forward,46,2,16,0,0
Uruguay,Forward,72,0,15,0,0
Ghana,Defender,138,0,51,2,0
Ghana,Forward,33,0,9,0,0
Netherlands,Midfielder,21,5,22,0,0
Nigeria,Defender,103,0,38,1,0
Denmark,Defender,270,2,120,10,0
Mexico,Defender,55,0,31,2,0
Argentina,Forward,106,2,57,2,0
North Korea,Midfielder,270,1,123,11,0
Paraguay,Defender,390,1,172,13,0
Cameroon,Midfielder,90,1,59,7,0
Portugal,Forward,136,5,42,3,0
Spain,Midfielder,506,9,465,18,0
France,Midfielder,82,0,31,0,0
Honduras,Midfielder,180,1,57,1,0
Ghana,Forward,11,0,4,1,0
Portugal,Midfielder,5,1,7,0,0
France,Forward,117,7,37,1,0
Ghana,Midfielder,510,4,307,11,0
Ghana,Midfielder,105,1,54,2,0
Spain,Defender,13,0,12,0,0
Uruguay,Midfielder,570,5,195,21,0
Ghana,Midfielder,480,11,214,9,0
England,Defender,360,0,142,12,0
Cameroon,Defender,270,0,116,5,0
Greece,Defender,270,1,70,8,0
Ghana,Midfielder,389,3,170,15,0
Nigeria,Midfielder,90,0,44,1,0
Germany,Defender,167,0,84,6,0
Brazil,Midfielder,82,0,42,1,0
Switzerland,Midfielder,227,3,104,5,0
Mexico,Midfielder,149,4,59,2,0
Paraguay,Midfielder,111,2,38,3,0
Paraguay,Forward,308,6,89,2,0
New Zealand,Midfielder,1,0,0,0,0
Ivory Coast,Goalkeeper,270,0,23,0,8
England,Midfielder,264,2,171,8,0
Cameroon,Defender,163,0,71,3,0
Mexico,Forward,45,0,8,3,0
USA,Midfielder,10,0,4,0,0
Australia,Defender,90,0,33,2,0
Chile,Midfielder,360,2,100,7,0
Denmark,Midfielder,28,0,8,0,0
Switzerland,Midfielder,31,0,4,1,0
Algeria,Defender,270,1,146,8,0
Switzerland,Goalkeeper,270,0,75,0,11
Denmark,Forward,242,4,70,0,0
Paraguay,Forward,83,2,25,2,0
Honduras,Defender,90,2,34,4,0
New Zealand,Midfielder,270,0,79,5,0
Slovenia,Midfielder,261,6,61,5,0
Mexico,Forward,112,2,60,3,0
Germany,Defender,287,1,125,10,0
Ghana,Midfielder,464,12,220,20,0
USA,Defender,390,1,130,9,0
Ivory Coast,Defender,90,2,50,5,0
Argentina,Midfielder,98,2,97,4,0
Paraguay,Midfielder,300,0,108,4,0
Cameroon,Defender,56,0,12,0,0
USA,Defender,200,2,72,5,0
Algeria,Midfielder,74,3,28,1,0
Algeria,Defender,270,1,89,11,0
Netherlands,Defender,180,0,81,8,0
USA,Midfielder,390,6,210,9,0
Chile,Goalkeeper,360,0,58,0,4
Slovenia,Defender,270,1,95,5,0
Australia,Midfielder,132,3,47,1,0
New Zealand,Midfielder,11,0,5,0,0
Portugal,Defender,360,1,166,5,0
USA,Forward,39,1,12,0,0
Italy,Goalkeeper,45,0,4,0,0
Switzerland,Forward,13,0,5,0,0
Argentina,Defender,341,1,167,1,0
Spain,Midfielder,511,0,466,15,0
Germany,Forward,132,4,54,1,0
Australia,Midfielder,146,6,39,1,0
