Team,Position,Time,Shots,Passes,Tackles,Saves,player_name
Algeria,Midfielder,16,0,6,0,0,Abdoun
Japan,Midfielder,351,0,101,14,0,Abe
France,Defender,180,0,91,6,0,Abidal
France,Midfielder,270,1,111,5,0,Abou Diaby
Cameroon,Forward,46,2,16,0,0,Aboubakar
Uruguay,Forward,72,0,15,0,0,Abreu
Ghana,Defender,138,0,51,2,0,Addy
Ghana,Forward,33,0,9,0,0,Adiyiah
Netherlands,Midfielder,21,5,22,0,0,Afellay
Nigeria,Defender,103,0,38,1,0,Afolabi
Denmark,Defender,270,2,120,10,0,Agger
Mexico,Defender,55,0,31,2,0,Aguilar
Argentina,Forward,106,2,57,2,0,Aguero
North Korea,Midfielder,270,1,123,11,0,Ahn Young-Hak
Paraguay,Defender,390,1,172,13,0,Alcaraz
Cameroon,Midfielder,90,1,59,7,0,Alexandre Song
Portugal,Forward,136,5,42,3,0,Almeida
Spain,Midfielder,506,9,465,18,0,Alonso
France,Midfielder,82,0,31,0,0,Alou Diarra
Honduras,Midfielder,180,1,57,1,0,Alvarez
Ghana,Forward,11,0,4,1,0,Amoah
Portugal,Midfielder,5,1,7,0,0,Amorim
France,Forward,117,7,37,1,0,Anelka
Ghana,Midfielder,510,4,307,11,0,Annan
Ghana,Midfielder,105,1,54,2,0,Appiah
Spain,Defender,13,0,12,0,0,Arbeloa
Uruguay,Midfielder,570,5,195,21,0,Arevalo Rios
Ghana,Midfielder,480,11,214,9,0,Asamoah
England,Defender,360,0,142,12,0,ColeA
Cameroon,Defender,270,0,116,5,0,Assou-Ekotto
Greece,Defender,270,1,70,8,0,Avraam Papadopoulos
Ghana,Midfielder,389,3,170,15,0,Ayew
Nigeria,Midfielder,90,0,44,1,0,Ayila Yussuf
Germany,Defender,167,0,84,6,0,Badstuber
Brazil,Midfielder,82,0,42,1,0,Baptista
Switzerland,Midfielder,227,3,104,5,0,Barnetta
Mexico,Midfielder,149,4,59,2,0,Barrera
Paraguay,Midfielder,111,2,38,3,0,Barreto
Paraguay,Forward,308,6,89,2,0,Barrios
New Zealand,Midfielder,1,0,0,0,0,Barron
Ivory Coast,Goalkeeper,270,0,23,0,8,Barry
England,Midfielder,264,2,171,8,0,BarryG
Cameroon,Defender,163,0,71,3,0,Bassong
Mexico,Forward,45,0,8,3,0,Bautista
USA,Midfielder,10,0,4,0,0,Beasley
Australia,Defender,90,0,33,2,0,Beauchamp
Chile,Midfielder,360,2,100,7,0,Beausejour
Denmark,Midfielder,28,0,8,0,0,Beckmann
Switzerland,Midfielder,31,0,4,1,0,Behrami
Algeria,Defender,270,1,146,8,0,Belhadj
Switzerland,Goalkeeper,270,0,75,0,11,Benaglio
Denmark,Forward,242,4,70,0,0,Bendtner
Paraguay,Forward,83,2,25,2,0,Benitez
Honduras,Defender,90,2,34,4,0,Bernardez
New Zealand,Midfielder,270,0,79,5,0,Bertos
Slovenia,Midfielder,261,6,61,5,0,Birsa
Mexico,Forward,112,2,60,3,0,Blanco
Germany,Defender,287,1,125,10,0,BoatengGe
Ghana,Midfielder,464,12,220,20,0,BoatengGh
USA,Defender,390,1,130,9,0,Bocanegra
Ivory Coast,Defender,90,2,50,5,0,Boka
Argentina,Midfielder,98,2,97,4,0,Bolatti
Paraguay,Midfielder,300,0,108,4,0,Bonet
Cameroon,Defender,56,0,12,0,0,Bong
USA,Defender,200,2,72,5,0,Bornstein
Algeria,Midfielder,74,3,28,1,0,Boudebouz
Algeria,Defender,270,1,89,11,0,Bougherra
Netherlands,Defender,180,0,81,8,0,Boulahrouz
USA,Midfielder,390,6,210,9,0,Bradley
Chile,Goalkeeper,360,0,58,0,4,Bravo
Slovenia,Defender,270,1,95,5,0,Brecko
Australia,Midfielder,132,3,47,1,0,Bresciano
New Zealand,Midfielder,11,0,5,0,0,Brockie
Portugal,Defender,360,1,166,5,0,Bruno Alves
USA,Forward,39,1,12,0,0,Buddle
Italy,Goalkeeper,45,0,4,0,0,Buffon
Switzerland,Forward,13,0,5,0,0,Bunjaku
Argentina,Defender,341,1,167,1,0,Burdisso
Spain,Midfielder,511,0,466,15,0,Busquets
Germany,Forward,132,4,54,1,0,Cacau
Australia,Midfielder,146,6,39,1,0,Cahill
